Fecha,LluviaDiariaSantaFe,LluviaDiariaBuenosAires,LluviaDiariaCordoba,CotizacionDolar,PrecioPromedioDiarioSojaUSD,SuperficieSembradaSojaSantaFe,SuperficieSembradaSojaBuenosAires,SuperficieSembradaSojaCordoba,SuperficieCosechadaSojaSantaFe,SuperficieCosechadaSojaBuenosAires,SuperficieCosechadaSojaCordoba,ProduccionSojaSantaFe,ProduccionSojaBuenosAires,ProduccionSojaCordoba,RendimientoSojaSantaFe,RendimientoSojaBuenosAires,RendimientoSojaCordoba,PromedioIncendiosMensualesSantaFe,PromedioIncendiosMensualesBuenosAires,PromedioIncendioMensualesCordoba,VariacionSojaDiaAnterior,VariacionSojaTresDia,VariacionSojaSieteDias,LluviaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaTreintaDiasSantaFe,LluviaDiariaAcumuladaTreintaDiasBuenosAires,LluviaDiariaAcumuladaTreintaDiasCordoba,LluviaDiariaAcumuladaCuarentaCincoDiasSantaFe,LluviaDiariaAcumuladaCuarentaCincoDiasBuenosAires,LluviaDiariaAcumuladaCuarentaCincoDiasCordoba,LluviaDiariaAcumuladaSesentaDiasSantaFe,LluviaDiariaAcumuladaSesentaDiasBuenosAires,LluviaDiariaAcumuladaSesentaDiasCordoba,PrecioPromedioTreintaDiasSoja,PrecioPromedioSesentaDiasSoja,PrecioPromedioNoventaDiasSoja,PrecioRealDiaSiguiente
20000117,0.0000,0.0000,0.0000,1.0000,183.5000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0181915462814339218833600856,-0.008822470291681670867842996,0.003515625,42.1000,40.5000,0.0000,42.1000,40.5000,0.0000,42.1000,55.5000,0.0000,42.1000,55.5000,0.0000,42.1000,55.5000,0.0000,181.4600,181.4600,181.4600,187.9000
20000118,0.0000,0.0000,0.0000,1.0000,183.2000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0016348773841961852861035422,-0.0099081246622230228787605837,-0.0001559332605644784032434118,42.1000,40.0000,0.0000,42.1000,40.0000,0.0000,42.1000,55.5000,0.0000,42.1000,55.5000,0.0000,42.1000,55.5000,0.0000,181.6454,181.6454,181.6454,189.0000
20000119,0.0000,0.0000,0.0000,1.0000,185.9000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0147379912663755458515283843,0.007406069364161849710982659,0.0137103684661525278491859468,26.7000,4.5000,0.0000,26.7000,4.5000,0.0000,42.1000,55.5000,0.0000,42.1000,55.5000,0.0000,42.1000,55.5000,0.0000,181.7750,181.7750,181.7750,189.9000
20000120,0.0000,0.0000,0.0000,1.0000,187.9000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0107584722969338353953738569,0.0200868621064060803474484256,0.0205617628801986343885785227,26.7000,4.5000,0.0000,26.7000,4.5000,0.0000,42.1000,55.5000,0.0000,42.1000,55.5000,0.0000,42.1000,55.5000,0.0000,182.0923,182.0923,182.0923,188.9000
20000121,15.8000,0.0000,0.0000,1.0000,189.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0058541777541245343267695583,0.0179533213644524236983842011,0.0209121074156956555289760012,25.6000,4.5000,0.0000,25.6000,4.5000,0.0000,42.1000,55.5000,0.0000,42.1000,55.5000,0.0000,42.1000,55.5000,0.0000,182.5071,182.5071,182.5071,188.2000
20000124,7.0000,0.0000,1.0000,1.0000,189.9000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0047619047619047619047619048,0.0122601279317697228144989339,0.0216739681807701175928060872,17.3000,26.5000,0.0000,17.3000,26.5000,0.0000,59.4000,82.0000,0.0000,59.4000,82.0000,0.0000,59.4000,82.0000,0.0000,182.9400,182.9400,182.9400,190.1000
20000125,0.0000,0.0000,0.0000,1.0000,188.9000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.005265929436545550289626119,-0.0001764290755116443189837685,0.0122483349919620301615249177,24.3000,27.5000,0.0000,24.3000,27.5000,0.0000,66.4000,83.0000,0.0000,66.4000,83.0000,0.0000,66.4000,83.0000,0.0000,183.3750,183.3750,183.3750,190.1000
20000126,0.0000,0.0000,0.0000,1.0000,188.2000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0037056643726839597670725251,-0.0056357872490313490665727369,0.0069555912252541466024612092,24.3000,27.5000,0.0000,24.3000,27.5000,0.0000,66.4000,83.0000,0.0000,66.4000,83.0000,0.0000,66.4000,83.0000,0.0000,183.7000,183.7000,183.7000,188.1000
20000127,0.0000,0.0000,0.0000,1.0000,190.1000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0100956429330499468650371945,0.0058201058201058201058201058,0.0134805788271134805788271135,24.3000,27.5000,0.0000,24.3000,27.5000,0.0000,66.4000,83.0000,0.0000,66.4000,83.0000,0.0000,66.4000,83.0000,0.0000,183.9500,183.9500,183.9500,190.1000
20000128,0.0000,0.0000,0.0000,1.0000,190.1000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0,0.0054654442877291960507757405,0.0081824380634896583074475339,24.3000,27.5000,0.0000,24.3000,27.5000,0.0000,66.4000,83.0000,0.0000,66.4000,83.0000,0.0000,66.4000,83.0000,0.0000,184.2736,184.2736,184.2736,190.5000
20000131,0.0000,0.0000,0.0000,1.0000,188.1000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0105207785376117832719621252,-0.0072132301196340605207600282,-0.0055887017596858243335095537,7.1000,1.0000,0.0000,7.1000,1.0000,0.0000,66.5000,83.0000,0.0000,66.5000,83.0000,0.0000,66.5000,83.0000,0.0000,184.5650,184.5650,184.5650,188.0000
20000201,0.0000,0.0000,0.0000,1.0000,190.1000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0106326422115895800106326422,0.0035192679922576104170332571,0.0048327418258702710866117949,0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,66.5000,83.0000,0.0000,66.5000,83.0000,0.0000,66.5000,83.0000,0.0000,184.7333,184.7333,184.7333,189.0000
20000202,12.4000,0.0000,10.0000,1.0000,190.5000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.002104155707522356654392425,0.0056308287876121766672532113,0.0061113626075147125396106836,0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,66.5000,83.0000,0.0000,66.5000,83.0000,0.0000,66.5000,83.0000,0.0000,184.9772,184.9772,184.9772,189.0000
20000203,0.0000,0.0000,0.0000,1.0000,188.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.01312335958005249343832021,-0.0082644628099173553719008265,-0.0075414781297134238310708899,12.5000,10.0000,0.0000,12.5000,10.0000,0.0000,78.9000,93.0000,0.0000,78.9000,93.0000,0.0000,78.9000,93.0000,0.0000,185.6318,185.2173,185.2173,186.9000
20000204,0.0000,0.0000,0.0000,1.0000,189.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0053191489361702127659574468,-0.0028139289482940555750967288,-0.0015847860538827258320126783,12.5000,10.0000,0.0000,12.5000,10.0000,0.0000,78.9000,93.0000,0.0000,78.9000,93.0000,0.0000,78.9000,93.0000,0.0000,186.0636,185.3333,185.3333,184.4000
20000207,5.0000,0.0000,0.0000,1.0000,189.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0,-0.0008810572687224669603524229,-0.0021871936043442190210423109,12.4000,10.0000,0.0000,12.4000,10.0000,0.0000,78.9000,93.0000,0.0000,78.9000,93.0000,0.0000,78.9000,93.0000,0.0000,186.9700,185.4800,185.4800,183.8000
20000208,7.5000,0.0000,0.0000,1.0000,186.9000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0111111111111111111111111111,-0.0093639575971731448763250884,-0.012454710144927536231884058,17.4000,10.0000,0.0000,17.4000,10.0000,0.0000,83.9000,93.0000,0.0000,83.9000,93.0000,0.0000,83.9000,93.0000,0.0000,187.0666,185.6153,185.6153,184.1000
20000209,0.0000,0.0000,0.0000,1.0000,184.4000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.01337613697164258962011771,-0.020711630377057886351566649,-0.0233050847457627118644067797,24.9000,10.0000,0.0000,24.9000,10.0000,0.0000,91.4000,78.0000,0.0000,91.4000,93.0000,0.0000,91.4000,93.0000,0.0000,187.0590,185.6629,185.6629,185.9000
20000210,2.6000,0.0000,49.0000,1.0000,183.8000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0032537960954446854663774403,-0.0158843476708905943244690345,-0.02374990515213597389786782,12.5000,0.0000,0.0000,12.5000,0.0000,0.0000,91.4000,77.5000,0.0000,91.4000,93.0000,0.0000,91.4000,93.0000,0.0000,187.2227,185.6178,185.6178,187.3000
20000211,33.2000,0.0000,19.0000,1.0000,184.1000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0016322089227421109902067465,-0.0050441361916771752837326608,-0.0174595913388228118328758768,15.1000,49.0000,0.0000,15.1000,49.0000,0.0000,78.6000,91.0000,0.0000,94.0000,142.0000,0.0000,94.0000,142.0000,0.0000,187.3590,185.5551,185.5551,187.3000
20000214,0.0000,0.0000,0.0000,1.0000,185.9000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0097772949483976099945681695,0.0097772949483976099945681695,-0.0029880478087649402390438247,63.2000,68.1000,0.0000,63.2000,68.1000,0.0000,114.5000,109.1000,0.0000,142.1000,161.1000,0.0000,142.1000,161.1000,0.0000,187.5300,185.5066,185.5066,187.0000
20000215,0.0000,0.0000,0.0000,1.0000,187.3000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.0075309306078536847767616998,0.014626218851570964247020585,0.0061392065075588980124318932,58.2000,68.1000,0.0000,58.2000,68.1000,0.0000,114.5000,109.1000,0.0000,142.1000,161.1000,0.0000,142.1000,161.1000,0.0000,187.4523,185.5193,185.5193,185.0000
20000216,0.0000,0.0000,0.0000,1.0000,187.3000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0,0.0082540821819486811412165799,0.0074535116028891962501921008,50.7000,68.1000,0.0000,50.7000,68.1000,0.0000,100.0000,105.6000,0.0000,142.1000,161.1000,0.0000,142.1000,161.1000,0.0000,187.4454,185.5750,185.5750,183.0000
20000217,0.0000,0.0000,0.0000,1.0000,187.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0016017084890549919914575547,0.0008920606601248884924174844,0.0071554974224821112564437947,50.7000,68.1000,0.0000,50.7000,68.1000,0.0000,100.0000,105.6000,0.0000,142.1000,161.1000,0.0000,142.1000,161.1000,0.0000,187.6181,185.6272,185.6272,185.4000
20000218,0.0000,0.0000,0.0000,1.0000,185.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0106951871657754010695187166,-0.0117521367521367521367521368,-0.0036928758270503154331435606,48.1000,19.1000,0.0000,48.1000,19.1000,0.0000,100.0000,105.6000,0.0000,142.1000,161.1000,0.0000,142.1000,161.1000,0.0000,187.7909,185.6676,185.6676,182.0000
20000221,1.5000,0.0000,0.0000,1.0000,183.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0108108108108108108108108108,-0.0184158769890935097443232612,-0.0149184866195016917871424177,8.0000,0.0000,0.0000,8.0000,0.0000,0.0000,92.2000,105.6000,0.0000,150.1000,161.1000,0.0000,150.1000,161.1000,0.0000,187.6800,185.6485,185.6485,182.8000
20000222,0.0000,0.0000,0.0000,1.0000,185.4000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,0.013114754098360655737704918,0.0021621621621621621621621622,-0.0013850415512465373961218837,9.5000,0.0000,0.0000,9.5000,0.0000,0.0000,93.6000,105.6000,0.0000,151.6000,161.1000,0.0000,151.6000,161.1000,0.0000,187.4571,185.5750,185.5750,180.8000
20000223,0.0000,0.0000,0.0000,1.0000,182.0000,2873.5500,4705.5500,2729.0000,2863.4000,5240.6600,2707.4000,5167.5000,6274.6000,5687.0000,41.0020,159.2230,54.3380,54,291,72,-0.0183387270765911542610571737,-0.0133718829056740151788941092,-0.0206779921592743485279421939,9.5000,0.0000,0.0000,9.5000,0.0000,0.0000,92.2000,79.1000,0.0000,151.6000,161.1000,0.0000,151.6000,161.1000,0.0000,187.3636,185.5702,185.5702,180.0000
